ccaa,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
Andalucía,0.5533997595291477,0.5814331432201177,0.4267303961847649,0.3751628138396473,0.3910830070468649,0.4634160587927009,0.4741448846497388,0.4606473295392718,0.4821049812533476
Aragón,0.5594127997668253,0.5877507839951638,0.4313670932535933,0.3792391963397365,0.3953323725681755,0.468451368910431,0.4792967702817704,0.4656525556533112,0.4873433583959899
Asturias,0.5582843577129343,0.5865651788353532,0.4304969437523752,0.3784741987247159,0.3945349119547315,0.4675064133693677,0.4783299375026391,0.4647132458511041,0.486360294117647
Canarias,0.5546926322574973,0.5827915085632244,0.4277273393205092,0.3760392829062708,0.3919966694502639,0.4644987083131888,0.4752525992450103,0.461723510653364,0.4832312925170068
Cantabria,0.5714457380068041,0.6003932707013327,0.4406457754611567,0.3873966103810979,0.4038359499360154,0.4785277318268359,0.4896064171790629,0.4756687162520677,0.4978260869565217
Castilla y León,0.5577225320063681,0.5859748929147583,0.4300637160499387,0.3780933237616654,0.3941378744009981,0.467035941436227,0.4778485733888207,0.4642455848032996,0.4858708487084871
Castilla-La Mancha,0.5591442525526739,0.5874686330759801,0.4311600146325496,0.3790571418180728,0.3951425924856294,0.4682264879099626,0.4790666829250551,0.4654290182286484,0.4871094082588335
Cataluña,0.5436300698414133,0.5711685536795337,0.4191969206469434,0.36853970963608,0.3841788486058768,0.4552349365338664,0.4657743562743816,0.4525150862782495,0.47359392575928
Comunidad Valenciana,0.5414360896481396,0.5688634337766572,0.4175051272896536,0.3670523584606525,0.3826283810521562,0.4533977010874665,0.4638945858773929,0.450688827593292,0.4716825971731448
Comunidad de Madrid,0.5539133691388457,0.5819727705773989,0.4271264441201981,0.3755110019677978,0.3914459706859885,0.4638461546447244,0.4745849379113313,0.4610748557372131,0.4825524222704266
Extremadura,0.5580015295429046,0.5862680235347592,0.4302788529871179,0.3782824628045707,0.394335039639451,0.4672695735196681,0.4780876144301309,0.4644778210266455,0.4861139028475711
Galicia,0.540173177168309,0.5675365463682048,0.4165312867095216,0.3661962001566273,0.3817358913071852,0.4523401402303726,0.4628125407883574,0.4496375852476669,0.4705823863636364
Illes Balears,0.5598176808411806,0.5881761749926101,0.4316792998606477,0.3795136748166602,0.3956184986557436,0.4687904156637528,0.4796436665118308,0.4659895767352166,0.4876960784313725
La Rioja,0.5640320650873414,0.5926040458703776,0.4349290408084378,0.3823707057877911,0.3985967689485277,0.4723195341788306,0.4832544897871531,0.4694976101508765,0.4913675213675214
Navarra,0.5597436430271658,0.5880983866701931,0.4316222087883024,0.3794634828276721,0.3955661767484036,0.4687284165186836,0.4795802319870026,0.4659279480107303,0.4876315789473684
País Vasco,0.5617303286619432,0.5901857111645182,0.4331541558725303,0.3808103041085343,0.3969701509618485,0.4703920638388629,0.4812823954139226,0.4675816556904605,0.4893623188405797
Región de Murcia,0.5360996331592429,0.563256650223595,0.4133901486462455,0.3634346481204624,0.3788571516384894,0.4489289611008294,0.4593223873847173,0.4462467865759552,0.4670336391437308
